source,question,split,top1_action,p,n
TO,q1,open_doors,ST,0.5164,64897
TO,q2,open_doors,2FGM,0.2271,64470
D,q0,open_doors,2FGM,0.2021,121126
D,q1,open_doors,CM,0.2615,120702
D,q2,open_doors,2FGM,0.2047,119984
O,q0,open_doors,2FGM,0.2974,53768
O,q1,open_doors,D,0.235,53549
O,q2,open_doors,2FGM,0.2035,53201
ST,q0,open_doors,2FGM,0.3011,33535
ST,q1,open_doors,CM,0.2402,33425
ST,q2,open_doors,2FGM,0.2051,33233
FV,q0,open_doors,D,0.48,12958
FV,q1,open_doors,O,0.3155,12902
FV,q2,open_doors,2FGM,0.2191,12815
AG,q0,open_doors,FV,0.7959,12971
AG,q1,open_doors,FV,0.8213,12964
AG,q2,open_doors,2FGM,0.2389,12833
CM,q0,open_doors,RV,0.7039,96200
CM,q1,open_doors,RV,0.7025,96200
CM,q2,open_doors,2FGM,0.2257,95792
RV,q0,open_doors,CM,0.3324,105887
RV,q1,open_doors,CM,0.3566,105702
RV,q2,open_doors,FTM,0.2096,104891
OF,q0,open_doors,TO,0.8399,8259
OF,q1,open_doors,RV,0.829,8258
OF,q2,open_doors,2FGM,0.2301,8235
CMU,q0,open_doors,RV,0.6565,1438
CMU,q1,open_doors,RV,0.685,1438
CMU,q2,open_doors,2FGA,0.2038,1418
CMT,q0,open_doors,FTM,0.6635,1040
CMT,q1,open_doors,FTM,0.6808,1040
CMT,q2,open_doors,2FGM,0.2258,1032
3FGM,q0,closed_doors,AS,0.7631,5096
3FGM,q1,closed_doors,2FGM,0.1876,5079
3FGM,q2,closed_doors,2FGM,0.2227,5047
3FGA,q0,closed_doors,D,0.6736,8354
3FGA,q1,closed_doors,D,0.7415,8332
3FGA,q2,closed_doors,2FGM,0.2286,8233
2FGM,q0,closed_doors,AS,0.4652,11002
2FGM,q1,closed_doors,2FGM,0.1759,10977
2FGM,q2,closed_doors,2FGM,0.2091,10935
2FGA,q0,closed_doors,D,0.5913,9597
2FGA,q1,closed_doors,D,0.6746,9585
2FGA,q2,closed_doors,2FGM,0.2275,9522
FTM,q0,closed_doors,FTM,0.293,7654
FTM,q1,closed_doors,2FGA,0.1819,7636
FTM,q2,closed_doors,2FGM,0.212,7459
FTA,q0,closed_doors,D,0.4138,2025
